"chunk_id","primary_relevance_score","vector_similarity_score","llm_evaluation_score","score_difference","titel","datum","jahrgang","ausgabe","autoren","schlagworte","untertitel","url","nr_in_issue","time_window","evaluation_text","content_preview","content_length","full_content"
"1","1.0","0.7804124355316162","1.0","0.2195875644683838","Nach Führerprinzip","1951-12-25","1951","52","","['Schnaps-Preise']","","https://www.spiegel.de/politik/nach-fuehrerprinzip-a-7bf63df9-0002-0001-0000-000020300714?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Schon lange vorher hatten die Nationalsozialisten durch Gesetze vom 13. September 1933 und 13. September 1934 den Beirat bei der Reichsmonopolverwaltung beseitigt. Dieser Beirat hatte entgegen dem heu...","543","Schon lange vorher hatten die Nationalsozialisten durch Gesetze vom 13. September 1933 und 13. September 1934 den Beirat bei der Reichsmonopolverwaltung beseitigt. Dieser Beirat hatte entgegen dem heutigen Gewerbeausschuß (mit nur beratender Stimme) das Beschlußrecht. Durch die beiden Gesetze war also auch auf dem Spritsektor das Führerprinzip eingeführt. Jetzt will die westdeutsche Spirituosenindustrie feststellen, ob in der Bundesrepublik 1934 oder 1952 geschrieben wird. Ihre Klageschrift für das Verwaltungsgericht ist schon in Arbeit."
"2","1.0","0.768490731716156","1.0","0.231509268283844","Briefe","1952-06-17","1952","25","","","","https://www.spiegel.de/politik/hans-habe-a-a843a7d7-0002-0001-0000-000021977257?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","(Nr. 22/52, Deutschland) Was ich zu diesem Thema (Habe) noch sagen möchte, wäre folgendes: Wir bekamen als Kriegsgefangene in Amerika unsere Lagerbüchereien vollgestopft mit der Literatur, die bei den...","1167","(Nr. 22/52, Deutschland) Was ich zu diesem Thema (Habe) noch sagen möchte, wäre folgendes: Wir bekamen als Kriegsgefangene in Amerika unsere Lagerbüchereien vollgestopft mit der Literatur, die bei den Nazis verbrannt wurde. (Aus der Schweiz und vom S. Fischer-Verlag, Stockholm.) Wir freuten uns natürlich riesig. Durften wir doch jetzt (gerade wir jüngeren Kriegsgefangenen) ungestört an die Lektüre von Werfel, Zweig, Spengler, Wolff, Baum, Mann, Zuckmayer usw. gehen. Aber es waren auch Werke der »Haß-Epoche« darunter, über deren Ergüsse man entweder nur schallend lachen oder in Anbetracht der ernsten Situation nur stumm mit dem Kopf schütteln konnte. Und dazu gehörte »Ob tausend fallen«. Ich glaube, wenn man dieses Werk des Herrn Habe in Deutschland veröffentlicht hätte, Herr Habe hätte sofort nach der Veröffentlichung schnellstens das Weite suchen müssen. Jetzt scheint endlich der Zeitpunkt gekommen zu sein. Minden Heinz Krügler Unter Habe war ich lediglich als freier Mitarbeiter für die »Münchner Illustrierte« tätig. Erst unter dem Nachfolger Herrn Habes wurde ich Leiter der Reportage-Abteilung der »Münchner Illustrierten«. München. Walter Mechtel."
"3","1.0","0.7652108669281006","1.0","0.23478913307189941","Briefe","1951-10-23","1951","43","","","","https://www.spiegel.de/politik/propaganda-a-8439c6f9-0002-0001-0000-000029194989?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","(Nr. 40/51, Deutschland) Anfang August dieses Jahres hat der Verlag des Bundesanzeigers die Geschäftsanteile der »Deutscher Bundes-Verlag Bonn G.m.b.H.« übernommen. Der Deutsche Bundes-Verlag war bis ...","633","(Nr. 40/51, Deutschland) Anfang August dieses Jahres hat der Verlag des Bundesanzeigers die Geschäftsanteile der »Deutscher Bundes-Verlag Bonn G.m.b.H.« übernommen. Der Deutsche Bundes-Verlag war bis dahin eine rein private Verlagsgesellschaft. Sie verlegte u. a. die »Briefe aus Deutschland«. Nachdem der Verlag des Bundesanzeigers die Gesellschaft übernommen hat, wurde das Erscheinen der »Briefe aus Deutschland« sofort eingestellt, weil mit den zur Verfügung stehenden Mitteln die Ausgestaltung dieser Briefe nicht so vorgenommen werden konnte, wie dies für eine solche Propagandaschrift notwendig ist. Köln a. Rh. Bundesanzeiger"
"4","1.0","0.7624791860580444","1.0","0.23752081394195557","Briefe","1950-06-07","1950","23","","","","https://www.spiegel.de/politik/hederich-a-d06c02ad-0002-0001-0000-000044448623?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Zu Ihrem Artikel »Unkraut wie Hederich« in Nr. 14: Vielleicht interessiert es Sie, daß besagter Hederich nach dem Zusammenbruch 1945 für längere Zeit eine Zierde der heutigen Kriminalpolizei Berlin wa...","584","Zu Ihrem Artikel »Unkraut wie Hederich« in Nr. 14: Vielleicht interessiert es Sie, daß besagter Hederich nach dem Zusammenbruch 1945 für längere Zeit eine Zierde der heutigen Kriminalpolizei Berlin war. Er gehörte damals dem Krim.-Kom. Spandau als Krim.-Angestellter an und versah seinen »Dienst« eigener Auffassung in Bln.-Kladow, wo er auch wohnte. Nach Begehung von Amtsvergehen und Amtsverbrechen wurde er 1946 auf Veranlassung des damaligen Public-Safety-Offiziers nach Aufdeckung seiner Taten aus dem Dienst entlassen und zur Verantwortung gezogen. Berlin-Siemensstadt K. ECKERT"
"5","1.0","0.7581201791763306","1.0","0.24187982082366943","Briefe","1952-07-15","1952","29","","","","https://www.spiegel.de/politik/hans-habe-a-66d23bdc-0002-0001-0000-000021977334?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Das Opus »Ob tausend fallen« von Hans Habe ist in Deutschland bereits veröffentlicht worden! Und zwar in einer Zeitung, die sich heute nationalistisch und soldatisch gebärdet und deren Lizenzträger ni...","786","Das Opus »Ob tausend fallen« von Hans Habe ist in Deutschland bereits veröffentlicht worden! Und zwar in einer Zeitung, die sich heute nationalistisch und soldatisch gebärdet und deren Lizenzträger niemals eine klare Linie gezeigt haben: DER TAGESSPIEGEL hat dieses antideutsche, antisoldatische, ressentimentgeladene Werk »Ob tausend fallen« von Januar 1947 bis April 1947 abgedruckt. Heute werden in der IBZ des gleichen Verlages, den Herr Erik Reger dirigiert, die Memoiren des Prinzen Louis Ferdinand veröffentlicht und Herr Tagesspiegel-Chefredakteur Reger - alias Dannenberger - zeigt sich monarchistisch. Damals dachte er anders. Heute ist sein Blatt streng antikommunistisch. Vor 1945 schrieb Chefredakteur Reger unsignierte Artikel im SIGNAL. Berlin-Wilmersdorf Maria Matscheck"
"6","1.0","0.7564501762390137","1.0","0.24354982376098633","Briefe","1951-06-12","1951","24","","","","https://www.spiegel.de/politik/ns-geschichte-a-2844507f-0002-0001-0000-000029194141?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","(Nr. 17/51, Deutschland) Im Hinblick auf die beschränkten Etatmittel des Deutschen Instituts für Geschichte der NS-Zeit beschloß das Kuratorium am 28. 2. 51 Einsparungen, von denen eine Reihe bereits ...","942","(Nr. 17/51, Deutschland) Im Hinblick auf die beschränkten Etatmittel des Deutschen Instituts für Geschichte der NS-Zeit beschloß das Kuratorium am 28. 2. 51 Einsparungen, von denen eine Reihe bereits besetzter Referate betroffen wird, darunter das von Dr. Schönwiese auftragsgemäß verwaltete. In Würdigung seiner Mitarbeit beim bisherigen Aufbau des Instituts soll die Frage seiner weiteren Verwendung im Honorarverhältnis geprüft werden. Zu seiner Forschungsarbeit über die staats- und verfassungsgeschichtliche Entwicklung des Nationalsozialismus äußerte sich Dr. Schönwiese, selbst politisch Verfolgter: »Es kann nicht darauf ankommen, bestimmte Tendenzen zu verfolgen oder den Nationalsozialismus nachträglich zu beschimpfen, sondern auf Grund objektiv wissenschaftlicher Forschung dem deutschen Volk die reine Wahrheit aufzuzeigen, damit es durch eigene Ueberzeugung vor neuer politischer Abirrung bewahrt wird.« München Karl Stankiewitz"
"7","1.0","0.7563140392303467","1.0","0.24368596076965332","Befreiung","1951-05-14","1951","20","","","","https://www.spiegel.de/politik/befreiung-a-c82c4509-0002-0001-0000-000029193919?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Zum ostzonalen Nationalfeiertag, dem sechsten Jahrestag der Kapitulation, vermerkte die sowjetamtliche »Tägliche Rundschau"": »Gewiß, auch Soldaten der Westmächte waren zeitweise am Krieg gegen das fas...","524","Zum ostzonalen Nationalfeiertag, dem sechsten Jahrestag der Kapitulation, vermerkte die sowjetamtliche »Tägliche Rundschau"": »Gewiß, auch Soldaten der Westmächte waren zeitweise am Krieg gegen das faschistische Deutschland beteiligt«. Seine Befreiung aber verdanke Deutschland allein der Sowjetunion. Ueber den Aufruf, alle Deutschen müßten zusammen kämpfen, wenn »das Werk der Befreiung in ganz Deutschland Wirklichkeit« werden solle, kommt die »Tägliche Rundschau« zu dem Schluß: »Noch ist nicht ganz Deutschland befreit.«"
"8","1.0","0.7539104223251343","1.0","0.24608957767486572","Briefe","1949-10-12","1949","42","","","","https://www.spiegel.de/politik/ex-nazis-a-390b79f1-0002-0001-0000-000044438616?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Der SPIEGEL regt zum Denken an. So zeigt Ihr Artikel »Brotlose a. D.'s« in Nr. 40 eine schwere europäische Krankheit auf, von der Deutschland besonders befallen ist: völlige Abwesenheit eines Gerechti...","1311","Der SPIEGEL regt zum Denken an. So zeigt Ihr Artikel »Brotlose a. D.'s« in Nr. 40 eine schwere europäische Krankheit auf, von der Deutschland besonders befallen ist: völlige Abwesenheit eines Gerechtigkeitsbewußtseins. In dem Satz »Ich bin 1933 entlassen worden. Sie werden 1949 entlassen«, liegt alles. Das paßt den Helmles nicht, weil sie immer nur ausschließlich mit sich selbst Mitleid haben, nie mit anderen. Was du anderen zugefügt hast, darf man dir nicht tun. Alle Nazis in Deutschland und Oesterreich sind davon überzeugt, es sei ganz normal, wenn sie anderen Schaden an Leib und Gut zufügten, daß aber jede Art von Sühne ein rabenschwarzes Verbrechen an ihnen ist. Und im Namen jener Demokratie, die sie zertrampelten, wollen sie jetzt so nachsichtig behandelt werden, wie ihnen selbst nie in den Sinn gekommen wäre, es bei anderen zu versuchen. Dieses egozentrische Denken existiert überall, es bildet die Grundlage zum Anwachsen des Gangsterismus, des Mißachtens des Lebens anderer. In Deutschland und Oesterreich ist es zur politischen Basis geworden. Es wird sehr viel von Recht geredet, aber der Sinn für Gerechtigkeit ist abhanden gekommen. Adolf meinte, Recht sei, was dem deutschen Volk nütze. Die deutschen Ex-Nazis gehen weiter: Unrecht ist, was mir persönlich schadet. Paris-3 EDGAR JOUBERT"
"9","1.0","0.753781259059906","1.0","0.246218740940094","Briefe","1951-11-13","1951","46","","","","https://www.spiegel.de/politik/ernst-von-salomon-a-94537bfb-0002-0001-0000-000029195118?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","(Nr. 44/51, Rückseite) Nur wer die so unglaublich unritterliche Behandlung und die unbeschreiblichen Mißhandlungen, die die Amerikaner nach der Kapitulation - besonders durch die von ihnen in Offizier...","761","(Nr. 44/51, Rückseite) Nur wer die so unglaublich unritterliche Behandlung und die unbeschreiblichen Mißhandlungen, die die Amerikaner nach der Kapitulation - besonders durch die von ihnen in Offiziersstellen eingesetzten Remigranten - uns als Kriegs- und Zivilgefangenen zugefügt haben, am eigenen Leibe verspürt hat, nur der hat das Recht, sich kritisch zum »Fragebogen« zu äußern. Solange die vae victis-Justiz der Nachkriegszeit noch nicht endgültig liquidiert ist, so lange haben deutsche Schriftsteller das Recht - und die Pflicht - laut und vernehmlich zu sagen: »Ihr macht es auch nicht besser.« Gerade um der Demokratie willen. Es sei denn, sie haben kein Vertrauen in die Zusicherung und die Praxis demokratischer Freiheit. Berchtesgaden Dr. A. Martin"
"10","1.0","0.7533494234085083","1.0","0.2466505765914917","Innere Zwistigkeiten","1952-04-22","1952","17","","['Strasser']","","https://www.spiegel.de/politik/innere-zwistigkeiten-a-5da44ce0-0002-0001-0000-000022123346?context=issue","","1948-1952","Score: 10.0/10 - Automatisch extrahiert","Denn der Artikel 116 des Grundgesetzes besagt im Absatz 2: * »Frühere deutsche Staatsangehörige, denen zwischen dem 30. Januar 1933 und dem 8. Mai 1945 die Staatsangehörigkeit aus politischen, rassisc...","1521","Denn der Artikel 116 des Grundgesetzes besagt im Absatz 2: * »Frühere deutsche Staatsangehörige, denen zwischen dem 30. Januar 1933 und dem 8. Mai 1945 die Staatsangehörigkeit aus politischen, rassischen oder religiösen Gründen entzogen worden ist, und ihre Abkömmlinge sind auf Antrag wieder einzubürgern.« Auf Strasser bezogen hält Jacoby diesen Passus für einen denkbar klaren Fall. Dabei empfiehlt er die Lektüre der Frickschen Ausbürgerungsliste im »Deutschen Reichsanzeiger und Preußischen Staatsanzeiger« vom 3. November 1934, wo Namen wie Klaus Mann, Erwin Piscator, Leonhard Frank, Hubertus, Prinz zu Loewenstein und Otto Strasser nebeneinanderstehen. Amtlich hat das Bundesinnenministerium Strassers bald antiquarischen Wiedereinbürgerungsantrag (15. August 1950) allerdings nie abgelehnt. Nur Bundespräsident Heuss ließ seinen Amts-Chef Dr. Klaiber am 1. Oktober einen Brief an Strasser nach Kanada schreiben: Das Bundesinnenministerium stehe auf dem Standpunkt, daß »der Gesetzgeber mit dem Artikel 116 des Grundgesetzes keinen Rechtsanspruch auf Wiedereinbürgerung für solche Personen schaffen wollte, die nicht nur nicht zu den Gegnern des Nationalsozialismus zählten, sondern im Gegenteil in der nationalsozialistischen Bewegung eine führende Rolle gespielt haben und denen die deutsche Staatsangehörigkeit lediglich wegen innerer Zwistigkeiten mit der Parteileitung der NSDAP aberkannt worden ist.« Diese »inneren Zwistigkeiten« wollen O. S. und seinem Frankfurter Anwalt seitdem am wenigsten in den Kopf."
