"chunk_id","primary_relevance_score","vector_similarity_score","llm_evaluation_score","score_difference","titel","datum","jahrgang","ausgabe","autoren","schlagworte","untertitel","url","nr_in_issue","time_window","evaluation_text","content_preview","content_length","full_content"
"1","0.8","0.7971855998039246","0.8","0.002814400196075484","Briefe","1950-05-24","1950","21","","","","https://www.spiegel.de/politik/a-b-c-a-ae9f2286-0002-0001-0000-000044448473?context=issue","","1948-1952","Score: 8.0/10 - Der Text beschreibt die Entnazifizierungsprozesse und die Fragen, die Kriegsgefangenen gestellt wurden, um ihre politische Einstellung zu beurteilen. Dies ist hoch relevant für die Forschung zur Aufarbeitung des Nationalsozialismus und der gesellschaftlichen Auseinandersetzung mit der NS-Vergangenheit.","In der Ausgabe Nr. 15 schreiben Sie unter »Nazismus« von den Rundfragen eines gewissen Herrn Wight. Es heißt da: »Halten Sie den Nationalsozialismus für eine schlechte Sache oder für eine gute Idee, d...","988","In der Ausgabe Nr. 15 schreiben Sie unter »Nazismus« von den Rundfragen eines gewissen Herrn Wight. Es heißt da: »Halten Sie den Nationalsozialismus für eine schlechte Sache oder für eine gute Idee, die nur schlecht ausgeführt wurde?« Vielleicht wird Sie hierzu folgendes interessieren: Als wir im Jahre 1946 als Kriegsgefangene von Amerika nach England kamen, wurden uns schon in den ersten Tagen kleine Zettel mit folgenden Fragen gegeben: 1. War der Nationalsozialismus eine gute Idee? 2. War der Nationalsozialismus eine gute Idee und ist sie nur schlecht ausgeführt? 3. Ist das ganze deutsche Volk schuld am Kriege? 4. Ist der Nürnberger Kriegsverbrecherprozeß gerechtfertigt? Truppweise wurden wir in eine Baracke geführt. Hier mußten die Fragen mit ja oder nein beantwortet werden. Die Zettel mußten einzeln abgegeben werden mit Unterschrift und Nummer versehen. Auf Grund der Auswertung erfolgte die politische Einstufung nach den Gruppen A, B und C. Bordesholm FERDINAND KÖNEMANN"
"2","0.8","0.7500230073928833","0.8","0.049976992607116744","Reich","1949-06-01","1949","23","","","","https://www.spiegel.de/politik/reich-a-9ce55cd6-0002-0001-0000-000044436637?context=issue","","1948-1952","Score: 8.0/10 - Dieser Text ist hoch relevant, da er die Flucht und Aktivitäten von ehemaligen Nazis wie Otto Skorzeny im Ausland thematisiert. Er zeigt, wie sich ehemalige Nazis nach dem Krieg organisierten und weiterhin Einfluss ausübten, was ein wichtiger Aspekt der Nachkriegsaufarbeitung ist.","Die deutschsprachige Argentinien-Zeitschrift »Der Weg« (Verlagsort Buenos Aires) registriert mit »stolzer Freude« einen neuen Mitarbeiter: Otto Skorzeny - Führerspion, Duce-Befreier und seit dem 26. 7...","856","Die deutschsprachige Argentinien-Zeitschrift »Der Weg« (Verlagsort Buenos Aires) registriert mit »stolzer Freude« einen neuen Mitarbeiter: Otto Skorzeny - Führerspion, Duce-Befreier und seit dem 26. 7. 1948 flüchtiger Arrestant des Darmstädter Internierungslagers. »Der Oberst der Waffen-SS«, verkündet das Blatt, »gehört zu einer wachsenden Zahl von Korrespondenten, darunter deutsche und österreichische Professoren, Dichter und Schriftsteller, die dem Feinde auch nach dem Kriege Widerstand leisten. Sie alle befolgen damit einen OKW-Befehl aus dem Jahre 1944.« Die mit Kriegsgedichten und PK-Kampfphotos gespickte »Monatsschrift für kulturelles Leben« fordert alle Auslandsdeutschen auf, Briefe an die Heimat nicht mit »Deutschland« zu adressieren. Die einzig richtige Bezeichnung sei »Das Deutsche Reich«. In Deutschland ist »Der Weg« verboten worden."
"3","0.7","0.7876911163330078","0.7","-0.08769111633300786","Weiß Ferdl","1949-03-04","1949","10","","","","https://www.spiegel.de/politik/weiss-ferdl-a-91ed3da3-0002-0001-0000-000044435995?context=issue","","1948-1952","Score: 7.0/10 - Der Fall von Weiß Ferdl zeigt die Schwierigkeiten und Kontroversen um die Entnazifizierung von Kulturschaffenden und die Nachwirkungen auf ihre Karrieren. Dies ist relevant für die Untersuchung der Entnazifizierung und der gesellschaftlichen Auseinandersetzung mit der NS-Vergangenheit.","Weiß Ferdl bekam mehr als ein Jahr nach seiner Entnazifizierung von der Kulturabteilung der amerikanischen Militärregierung eine unfreundliche Note. »Protektionskind von Nazifunktionären und früheres ...","579","Weiß Ferdl bekam mehr als ein Jahr nach seiner Entnazifizierung von der Kulturabteilung der amerikanischen Militärregierung eine unfreundliche Note. »Protektionskind von Nazifunktionären und früheres Parteimitglied« wurde er genannt. Weiter bezichtigt der OMGUS-Bericht den urbayrischen Komiker, er habe nur auf Grund seiner Beziehungen zu hochgestellten Parteileuten an den Zuständen in der NSDAP eine gewisse Kritik üben dürfen. Nach seiner Entnazifizierung habe Weiß Ferdl versucht, sich als »Opfer eines Kreuzzuges gegen vergangene und gegenwärtige Intolleranz« hinzustellen."
"4","0.7","0.7695519924163818","0.7","-0.06955199241638188","Briefe","1950-05-10","1950","19","","","","https://www.spiegel.de/politik/idee-a-1d5f7a9b-0002-0001-0000-000044448319?context=issue","","1948-1952","Score: 7.0/10 - Der Text liefert statistische Daten zur Wahrnehmung des Nationalsozialismus in der Nachkriegszeit, was für die Forschung zur gesellschaftlichen Auseinandersetzung mit der NS-Vergangenheit relevant ist.","Zu Ihrer Notiz »Nazismus« in Nummer 15: Auch die Information Control Division-Opinion Surveys Section - der amerikanischen Militärregierung richtete folgende Frage an die Bevölkerung der amerikanische...","647","Zu Ihrer Notiz »Nazismus« in Nummer 15: Auch die Information Control Division-Opinion Surveys Section - der amerikanischen Militärregierung richtete folgende Frage an die Bevölkerung der amerikanischen Besatzungszone: »Glauben Sie, daß der Nationalsozialismus eine schlechte Idee war, oder eine gute Idee schlecht ausgeführt?« Diese Frage wurde von November 1945 bis Dezember 1946 insgesamt 11 mal gestellt. Im Durchschnitt hielten 47 % der Befragten den Nationalsozialismus für eine gute Idee, die lediglich schlecht ausgeführt worden war. 41 % hielten ihn für eine schlechte Idee, während 12 % keine Meinung hatten. Frankfurt/Main ALFRED SCHMITT"
"5","0.7","0.7513253688812256","0.7","-0.05132536888122563","Briefe","1951-04-17","1951","16","","","","https://www.spiegel.de/politik/rechtspflege-a-603b1710-0002-0001-0000-000029193736?context=issue","","1948-1952","Score: 7.0/10 - Der Text kritisiert die Fortsetzung der NS-Justizpraktiken in der Nachkriegszeit, was hoch relevant für die Aufarbeitung des Nationalsozialismus ist.","(Nr. 13/51, Deutschland) Ihr oben genannter Artikel scheint mir wenig konsequent: Der Verfasser hält das Vergehen des armen Jungen nicht für todeswürdig - und das Urteil daher doch zum mindesten für e...","1054","(Nr. 13/51, Deutschland) Ihr oben genannter Artikel scheint mir wenig konsequent: Der Verfasser hält das Vergehen des armen Jungen nicht für todeswürdig - und das Urteil daher doch zum mindesten für eine Rechtsbeugung - , dennoch ist er offensichtlich dagegen, daß auch nur dieser eine, unter zahllosen, schädliche Vorgang heute in aller Oeffentlichkeit untersucht und gebrandmarkt wird. Warum? Etwa wegen der inzwischen verflossenen fünf Jahre? Oder gar mit Rücksicht auf die Autorität und die unserem Richterstande gebührende Achtung? Verdient nicht vielmehr jeder Schritt und jeder Versuch Ihre Unterstützung, durch den wir endlich von all den Richtern befreit werden könnten, welche im Dritten Reich bewußt das Recht gebeugt und die deutsche Rechtsprechung zum verächtlichsten Instrument des Terrors gemacht haben? Soll diese ungeheure Macht weiter in den Händen von Leuten bleiben, die nicht genug Verantwortungsbewußtsein, Selbstachtung und Rechtsgefühl hatten, um das schändliche Spiel der Nazi-Justiz aufzugeben? Hamburg Baron Freytag-Loringhoven"
"6","0.7","0.748060941696167","0.7","-0.04806094169616704","Briefe","1950-12-05","1950","49","","","","https://www.spiegel.de/politik/mit-aller-schaerfe-a-fa30fd49-0002-0001-0000-000044451288?context=issue","","1948-1952","Score: 7.0/10 - Hoch relevant, da der Text die Problematik der Rehabilitierung von ehemaligen Nazis und die gesellschaftliche Wahrnehmung dieser Personen nach dem Krieg thematisiert, was ein zentraler Aspekt der Aufarbeitung ist.","Zu Nr. 47: »Herr Oberstaatsanwalt, der Sonderfall ..."": Der Artikel findet allgemein auch meine Zustimmung. Der Absatz über den Magdeburger Großindustriellen Nathusius ist allerdings nicht imponierend...","599","Zu Nr. 47: »Herr Oberstaatsanwalt, der Sonderfall ..."": Der Artikel findet allgemein auch meine Zustimmung. Der Absatz über den Magdeburger Großindustriellen Nathusius ist allerdings nicht imponierend, da ich beide, Dr. Nathusius und Wild, kenne. Ich kann mich in keiner Weise damit einverstanden erklären, daß man ehemalige Nazigrößen wie N., der Mitinhaber der Polte-Munitionswerke in Magdeburg war, heute als Opfer des kommunistischen Terrors hinstellt. Selbst wenn die Ostzone vom bolschewistischen Joch befreit würde, müßte man diesen Mann mit aller Schärfe verurteilen. Hannover GERHARD SCHOLZ"
"7","0.7","0.7454321384429932","0.7","-0.04543213844299321","Briefe","1951-05-01","1951","18","","","","https://www.spiegel.de/politik/ns-geschichte-a-d45e529e-0002-0001-0000-000029193850?context=issue","","1948-1952","Score: 7.0/10 - Hoch relevant, da der Text die Arbeit eines Instituts zur Erforschung der NS-Zeit und die Schwierigkeiten bei der Dokumentation und Aufarbeitung der Vergangenheit thematisiert, was direkt zur Forschungsfrage passt.","(Nr. 17/51, Deutschland) Der SPIEGEL brachte die mir recht sachlich erscheinende Reportage über das Institut für Geschichte der nationalsozialistischen Zeit. »Einen Teil dieser Unterlagen schaffte er ...","622","(Nr. 17/51, Deutschland) Der SPIEGEL brachte die mir recht sachlich erscheinende Reportage über das Institut für Geschichte der nationalsozialistischen Zeit. »Einen Teil dieser Unterlagen schaffte er auf Umwegen aus dem Landsberger Gefängnis« - diese Bemerkung kann u. U. den im Landsberger Gefängnis sitzenden Verurteilten schaden, wenn die Gefängnisverwaltung daraus schließen sollte, daß die Postbestimmungen umgangen worden seien. Das ist nicht der Fall. Alle mir aus Landsberg zur Verfügung gestellten Mitteilungen sind auf dem vorgeschriebenen Postwege mit dem Zensurstempel an mich gelangt. München Hermann Foertsch"
"8","0.6","0.7712169885635376","0.6","-0.17121698856353762","Briefe","1951-05-14","1951","20","","","","https://www.spiegel.de/politik/strafsoldaten-a-a29b083f-0002-0001-0000-000029193951?context=issue","","1948-1952","Score: 6.0/10 - Der Brief thematisiert die einseitige Darstellung deutscher Kriegsverbrechen und die Forderung nach einer differenzierten Betrachtung. Dies ist mäßig relevant für die gesellschaftliche Auseinandersetzung mit der NS-Vergangenheit.","(Spiegel-Serie) Wir alle hofften, daß das Ausland einsieht, daß in Deutschland nicht nur Verbrecher leben, wie man 1945 wohl allgemein annahm. Warum publizieren Sie immer wieder nur die deutschen Verb...","1289","(Spiegel-Serie) Wir alle hofften, daß das Ausland einsieht, daß in Deutschland nicht nur Verbrecher leben, wie man 1945 wohl allgemein annahm. Warum publizieren Sie immer wieder nur die deutschen Verbrechen an der Menschlichkeit und diskriminieren damit Deutschland? Jeder weiß, daß in den KZ und Strafkompanien nicht nur »Politische« saßen, es waren zum großen Teil Verbrecher; bedauerlich genug, daß die Politischen mit darunter leiden mußten. Soll aber die Kollektivbehandlung nun ein Dauerzustand bleiben? Ist es nicht derselbe Fehler, den das 1000jährige Reich machte? Haben nicht Millionen Unschuldige und Vertriebene unter solcher Methode unendlich Schweres ertragen müssen? Wenn Sie glauben, die Verbrechen von Deutschen während des Krieges immer wieder breittreten zu müssen, so müssen Sie gerecht sein und auch die Unmenschlichkeiten schildern, die nach 1945 geschahen, also in einer Zeit, in der keine Kriegsnotwendigkeit als Entschuldigung vorgebracht werden kann. Durch Ihre einseitige Einstellung erreichen Sie ja nur die Radikalisierung des deutschen Volkes, ebenso wie es die Alliierten verstanden haben, durch ihre Art die Deutschen zu behandeln, den Europagedanken, der die einzige Möglichkeit eines langen Friedens bietet, mit Füßen zu treten. Winsen/Luhe Wilhelm Jacöbi"
"9","0.6","0.7564501762390137","0.6","-0.1564501762390137","Briefe","1951-06-12","1951","24","","","","https://www.spiegel.de/politik/ns-geschichte-a-2844507f-0002-0001-0000-000029194141?context=issue","","1948-1952","Score: 6.0/10 - Der Text beschreibt die Arbeit eines Instituts zur Erforschung der NS-Zeit, was mäßig relevant für die Aufarbeitung des Nationalsozialismus ist.","(Nr. 17/51, Deutschland) Im Hinblick auf die beschränkten Etatmittel des Deutschen Instituts für Geschichte der NS-Zeit beschloß das Kuratorium am 28. 2. 51 Einsparungen, von denen eine Reihe bereits ...","942","(Nr. 17/51, Deutschland) Im Hinblick auf die beschränkten Etatmittel des Deutschen Instituts für Geschichte der NS-Zeit beschloß das Kuratorium am 28. 2. 51 Einsparungen, von denen eine Reihe bereits besetzter Referate betroffen wird, darunter das von Dr. Schönwiese auftragsgemäß verwaltete. In Würdigung seiner Mitarbeit beim bisherigen Aufbau des Instituts soll die Frage seiner weiteren Verwendung im Honorarverhältnis geprüft werden. Zu seiner Forschungsarbeit über die staats- und verfassungsgeschichtliche Entwicklung des Nationalsozialismus äußerte sich Dr. Schönwiese, selbst politisch Verfolgter: »Es kann nicht darauf ankommen, bestimmte Tendenzen zu verfolgen oder den Nationalsozialismus nachträglich zu beschimpfen, sondern auf Grund objektiv wissenschaftlicher Forschung dem deutschen Volk die reine Wahrheit aufzuzeigen, damit es durch eigene Ueberzeugung vor neuer politischer Abirrung bewahrt wird.« München Karl Stankiewitz"
"10","0.6","0.7539104223251343","0.6","-0.1539104223251343","Briefe","1949-10-12","1949","42","","","","https://www.spiegel.de/politik/ex-nazis-a-390b79f1-0002-0001-0000-000044438616?context=issue","","1948-1952","Score: 6.0/10 - Der Text kritisiert das mangelnde Gerechtigkeitsbewusstsein ehemaliger Nazis, was mäßig relevant für die gesellschaftliche Auseinandersetzung mit der NS-Vergangenheit ist.","Der SPIEGEL regt zum Denken an. So zeigt Ihr Artikel »Brotlose a. D.'s« in Nr. 40 eine schwere europäische Krankheit auf, von der Deutschland besonders befallen ist: völlige Abwesenheit eines Gerechti...","1311","Der SPIEGEL regt zum Denken an. So zeigt Ihr Artikel »Brotlose a. D.'s« in Nr. 40 eine schwere europäische Krankheit auf, von der Deutschland besonders befallen ist: völlige Abwesenheit eines Gerechtigkeitsbewußtseins. In dem Satz »Ich bin 1933 entlassen worden. Sie werden 1949 entlassen«, liegt alles. Das paßt den Helmles nicht, weil sie immer nur ausschließlich mit sich selbst Mitleid haben, nie mit anderen. Was du anderen zugefügt hast, darf man dir nicht tun. Alle Nazis in Deutschland und Oesterreich sind davon überzeugt, es sei ganz normal, wenn sie anderen Schaden an Leib und Gut zufügten, daß aber jede Art von Sühne ein rabenschwarzes Verbrechen an ihnen ist. Und im Namen jener Demokratie, die sie zertrampelten, wollen sie jetzt so nachsichtig behandelt werden, wie ihnen selbst nie in den Sinn gekommen wäre, es bei anderen zu versuchen. Dieses egozentrische Denken existiert überall, es bildet die Grundlage zum Anwachsen des Gangsterismus, des Mißachtens des Lebens anderer. In Deutschland und Oesterreich ist es zur politischen Basis geworden. Es wird sehr viel von Recht geredet, aber der Sinn für Gerechtigkeit ist abhanden gekommen. Adolf meinte, Recht sei, was dem deutschen Volk nütze. Die deutschen Ex-Nazis gehen weiter: Unrecht ist, was mir persönlich schadet. Paris-3 EDGAR JOUBERT"
