chunk_id,title,date,content_preview,full_content,vector_score,llm_score,begruendung,manual_score,notes
chunk_30,Wie die Frauen sind,02/08/1950,"Begründung: Der Text beschreibt die Auswirkungen des Kinsey-Reports, der auch homosexuelle Erfahrungen thematisiert. Er bietet Kontext zur wissenschaftlichen und gesellschaftlichen Auseinandersetzung ...","Das erklärt, warum der Anteil dieser Altersklasse an den Geschlechtskrankheiten und Sittlichkeitsverbrechen besonders hoch ist.« Oft wird Kinsey angeklagt, mit seiner Untersuchung der Unmoral Vorschub geleistet zu haben. Das bestreitet er entschieden. Allerdings tritt er für eine größere Toleranz gegenüber den heiklen Problemen der sogenannten »geschlechtlichen Verirrungen« ein. Hunderte von Dankesbriefen von Menschen, die sich bisher für »Sünder« oder »Verworfene« hielten, hat er seit dem Erscheinen seines Reports erhalten. Eine Mutter schrieb ihm erleichtert: »Jetzt endlich begreife ich meinen Sohn und halte ihn nicht mehr für anomal.« Ehefrauen schreiben dem Professor, jetzt endlich verstünden sie ihre Männer. Gesetzgeber haben Kinseys Forschungen zur Grundlage von Strafrechtsreformen gemacht. »Wenn ich nur ein paar hundert Menschen aus ihrer Not und Angst geholfen habe, dann ist das Lob und Dank genug«, sagte der Professor. Zwölf Stunden am Tag. Immer wieder beruhigt er die Leute, die laut über die sittliche Verderbtheit der heutigen Generation klagen. Nach seinen Tabellen benimmt sich die boogie-woogie tanzende Jugend von heute sexuell auch nicht »wilder« als ihre Eltern und Großeltern. Als berühmter Mann hat Alfred C. Kinsey jetzt nicht mehr mit den Schwierigkeiten zu kämpfen, die er zu Anfang kannte. Er kann es sich jetzt gefahrlos leisten. Konferenzen abzuhalten, auf denen er Methodik und Ziel seiner Arbeit erklärt. Dann bittet er seine Zuhörer um Mitarbeit. Seinem Frauen-Report sagt er glänzende Verkaufschancen voraus. Denn: »Die Männer sind daran interessiert zu erfahren, wie die Frauen sind, wie sie zu sexuellen Dingen stehen. Und die Frauen möchten wissen, wie andere Frauen ihre Probleme beurteilen.« Er befragt bis zu zwölf Stunden am Tag. Aber in zwölf Stunden kann er höchstens fünf bis sechs Fälle schaffen. Und Alfred C. Kinsey hat noch viel vor. Der Plan des ehrgeizigen Professors umfaßt neben den Werken über das sexuelle Benehmen des Mannes und der Frau noch sechs weitere: »Die gesetzlichen Grundlagen der Sexualfrage« »Die homo-heterosexuelle Bilanz«, »Die sexuelle Angleichung in den Kollektiven«. »Die Prostitution« und »Die sexuelle Erziehung«. Am Ende dieser »Enzyklopädie des psychischen Lebens« will der Professor 100000 Menschen befragt haben. Die Antworten dieser 100000 sollen als Grundlage für die Aufklärung der Menschheit über das Sexualproblem dienen. Kinsey ist überzeugt: »Das Sexualleben ist die stärkste Triebfeder der menschlichen Entwicklung.«",0.6518826484680176,5,"Der Text bietet einen Einblick in die Rezeption von Kinseys Forschungen, die auch Homosexualität thematisieren. Er zeigt, wie wissenschaftliche Erkenntnisse in die gesellschaftliche Diskussion einfließen und zur Entstigmatisierung beitragen können. Dies ist relevant für die Untersuchung der gesellschaftlichen Wahrnehmung von Homosexualität.",1,
chunk_7,Briefe,19/08/1958,"Begründung: Der Text erwähnt den Paragraphen 175 im Kontext einer breiteren Diskussion über rechtliche und gesellschaftliche Normen. Obwohl er nicht zentral auf Homosexualität fokussiert, bietet er ei...","Die rechtliche Entscheidung um den Paragraphen 218 (Heft 32) ist an und für sich ein kleiner Lichtblick. Unzählig sind die Übertretungen auf diesem Gebiet, und die auf der Strecke bleibenden Opfer an Gesundheit und Leben sind eine einzige Anklage gegen diesen unter Denkmalsschutz stehenden Paragraphen. Massenvernichtungswaffen befürwortenden Religionsgemeinschaften sei es vorbehalten, ihre Gläubigen moralisch zu zwingen, jede befruchtete menschliche Eizelle zum Menschen reifen zu lassen. Doch diese Anschauung einem ganzen modern und fortschrittlich sein wollenden Volke auch weiterhin aufzuzwingen - das sollte endlich aufhören. Völlig unfaßbar ist es gar, wenn man von Verbrechern vergewaltigte junge Mädchen zwingt, das so empfangene Kind auszutragen. Was in Schweden geht, sollte auch bei uns möglich sein. Ulm K.-H. GRASSELT Diplom-Ingenieur In Japan fiel die Geburtenrate nach der Legalisierung der Schwangerschaftsunterbrechung von 33,7 auf 19,4 pro Tausend. Das mag für ein so übervölkertes Land wie Japan vielleicht noch tragbar sein. Man stelle sich aber vor, was ein solches - auch nur relativ vergleichbares - Absinken für die Bundesrepublik mit einer Geburtenziffer von 17,7 pro Tausend bedeuten würde? Nach dreißig Jahren waren bei der dann umgekehrten Blevölkerungspyramide die Soziallasten für die arbeitende Bevölkerung so ungeheuer, daß der Nettolohn kaum ein Existenzminimum garantiert. Oder aber: Man wird für die Alten eine Methode finden, die wir mit der Abtreibung (Kindestötung) legalisiert haben. Bochum ADOLF PAULSEN Der Paragraph 218 wie der Paragraph 175 sind eine Schande der Rechtsprechung und sollten in keinem Fall mehr ausgesprochen werden. Der Mensch muß das Recht haben, über sich in diesen Sachen zu verfügen, wie er will, ohne irgendwelche richterliche oder staatliche Einmischung. Wenn ihm dieses nicht zugebilligt wird, haben wir mehr als mittelalterliche gesetzliche Übergriffe ... Hamburg 20 JOHANNES P. H. MEYER Die Zahl der illegalen Abtreibungen innerhalb eines Jahres wird in der Bundesrepublik auf fast 400 000 geschätzt. Über die Sterbeziffer der Patientinnen oder die Zahl ihrer irreparablen psychischen und physischen Schäden durch das - laut Paragraph 218 staatlich geradezu herangezüchtete Kurpfuschertum - ist nichts bekannt. Sollte man sich da nicht einmal - ausnahmsweise - die Sowjet-Union zum Vorbild nehmen? Hier hieß es im Erlaß Nr. 425 vom 29. November 1955 über die Aufhebung des Abtreibungsverbots, daß die »Operation zur künstlichen Schwangerschaftsunterbrechung nur in Krankenhäusern und anderen Heilstätten gemäß den Weisungen des Gesundheitsministers der UdSSR durchgeführt werden« darf, während die »festgesetzte strafrechtliche Verantwortung für Ärzte sowie für medizinisch nicht ausgebildete Personen, die Abtreibungen außerhalb von Krankenhäusern und anderen Gesundheitsinstitutionen durchführen«, bestehen bleibt.",0.634821892,5,"Der Text erwähnt den Paragraphen 175 im Kontext einer breiteren Diskussion über rechtliche und gesellschaftliche Normen. Obwohl er nicht zentral auf Homosexualität fokussiert, bietet er eine ergänzende Illustration der gesellschaftlichen Debatten über persönliche Freiheit und staatliche Eingriffe in den 1950er Jahren.",2,
chunk_15,Ewiges Gesetz,21/07/1974,"Begründung: Dieser Text ergänzt Text 1 und bietet weitere Details zur rechtlichen Situation von Homosexuellen nach der Reform des Sexualstrafrechts. Er zeigt, wie sich die rechtlichen Rahmenbedingunge...","An der Theke der »Schloßschenke« im saarländischen Dillingen, Januar letzten Jahres, fanden Regierungsrat Otto J., 39, und der Hilfsarbeiter Willi Jungmann, 19, schnell Kontakt. Spätabends noch fuhren sie in die Wohnung des Beamten. Was dann, zwischen null und zwei Uhr, in der Defrancestraße 5 geschah, ist ungeklärt. Doch Bernhard Riegler, Präsident der Rechtsanwaltskammer des Saarlands. zieht gleichwohl seine Schlüsse: Jene Nacht ergebe von Otto J. ein Bild, »das ihn nicht würdig erscheinen läßt, den Beruf des Rechtsanwalts auszuüben«. Wer sich wie J. so Riegler in einer »gutachtlichen Stellungnahme« der Rechtsanwaltskammer für das Landesjustizministerium -- »in homosexuelle Beziehungen verstrickt«, könne die »Aufgabe eines Rechtsanwalts nicht ordnungsgemäß ausüben«, da er sich »möglicherweise öffentlich oder geheim Erpressungen aussetzt«. Die Überlegungen des Präsidenten (»sollte ... dem Antrag des Herrn J. auf Zulassung zur Anwaltschaft nicht stattgegeben werden«) kommen einem Berufsverbot gleich. Denn »aufgrund des Gutachtens der Rechtsanwaltskammer« ließ der saarländische Justizminister Rainer Wicklmayr eine Entscheidung über die von J. beantragte Zulassung als Anwalt aussetzen und verwies den Antragsteller auf den Rechtsweg. freilich ohne dies ausdrücklich festzustellen -- Rieglers Argumentation an, Homosexualität und Anwaltschaft seien miteinander unvereinbar. Und falls sich Riegler, der auch im Präsidium der Bundesanwaltskammer den Berufsstand sauber hält, mit seiner Ansicht durchsetzen kann, stehen dem deutschen Rechtswesen schwere personelle Verluste bevor: 2500 homo- und bisexuelle Anwälte, so errechnete der Geschäftsführer der Kölner »Gay Liberation Front«, Dieter Beheng, hätten mit Berufsverboten zu rechnen; wenn der Saarbrücker Präzedenzfall zur Regel würde. Doch Anwaltsfunktionär Riegler will den Stand offenbar nicht nur von Nomosexuellen befreien, sondern von jedem, der auch nur in den Verdacht gerat, gleichgeschlechtlich gesinnt zu sein. Denn im Fall J. konnte er bislang nichts beweisen, sondern lediglich eine »etwaige Unterhaltung homosexueller Beziehungen« vermuten. Der Präsident stützt sich auf Aussagen des Hilfsarbeiters Willi Jungmann, der schon kurz nach dem ersten Treffen in der »Schloßschenke« mit J. in Streit geraten war. Jungmann war mehrmals an der Haustür des Regierungsrats erschienen und hatte unter Drohungen (»Ich schlage alles kaputt«) versucht, Profit aus seinem Kontakt mit J. zu schlagen. Doch der Beamte blieb hart. Zweimal holte er die Polizei, beim drittenmal zeigte er den aufdringlichen Bekannten an. Im Mai wurde Jungmann wegen versuchter räuberischer Erpressung verurteilt. Zuvor hatte er sich bemüht, J. zu belasten: Der Regierungsrat im Kultusministerium sei homosexuell und habe zu ihm seit längerem Beziehungen unterhalten. Jungmanns Behauptungen blieben zunächst ohne Folgen.",0.6560252904891968,8,"Dieser Text bietet einen Einblick in die gesellschaftliche und rechtliche Diskriminierung von Homosexuellen in den 1970er Jahren. Die Argumentation des Anwaltsfunktionärs Riegler, dass Homosexualität mit dem Anwaltsberuf unvereinbar sei, spiegelt die Vorurteile und die rechtlichen Herausforderungen wider, denen Homosexuelle damals ausgesetzt waren. Der Text zeigt, wie Homosexualität als Grund für berufliche Diskriminierung genutzt wurde, und bietet somit wertvolle Informationen über die gesellschaftliche Wahrnehmung und die rechtlichen Rahmenbedingungen dieser Zeit.",3,
chunk_23,NS-TODESURTEILE BLIEBEN UNGESÜHNT,14/04/1964,"Begründung: Der Text befasst sich mit NS-Todesurteilen und Paragraph 91 b StGB, der sich auf Kriegsverbrechen bezieht. Es gibt keine Verbindung zu Homosexualität oder gesellschaftlichen Wandlungsproze...","Als er das jüdische Ehepaar befehlsgemäß erschoß, sei kein Befehlsnotstand gegeben gewesen. Viellieber hätte, meinte das Gericht, die von ihm Verhafteten der Gestapo übergeben können. * Paragraph 91 b StGB: Wer im Inland oder als Deutscher Im Ausland es unternimmt, während eines Krieges gegen das Reich oder in Beziehung auf einen drohenden Krieg der feindlichen Macht Vorschub zu leisten, oder der Kriegsmacht des Reiches oder seiner Bundesgenossen einen Nachteil zuzufügen, wird mit dem Tode oder mit lebenslangem Zuchthaus bestraft. - Wenn die Tat nur einen unbedeutenden Vorteil für die feindliche Macht herbeigeführt hat, schwerere Folgen auch nicht herbeiführen konnte, so kann auf Zuchthaus nicht unter zwei Jahren erkannt werden. US-Anwalt Kempner (1964) Die Schwere des Gesetzes ... trifft die Anstifter nicht: US-Ankläger Kempner (v. l.) in Nürnberg (1948)",0.686164379,0,"Der Text befasst sich mit NS-Todesurteilen und Paragraph 91 b StGB, der sich auf Kriegsverbrechen bezieht. Es gibt keine Verbindung zu Homosexualität oder gesellschaftlichen Wandlungsprozessen in Bezug auf die Wahrnehmung homosexueller Menschen.",0,
chunk_9,Fünftausend und ein Fall,17/11/1953,Begründung: Der Text beschreibt die gesellschaftliche und rechtliche Reaktion auf Homosexualität im Kontext eines prominenten britischen Schauspielers. Er bietet Einblicke in die internationale Wahrne...,"In den letzten zwölf Monaten hat er in der Rolle des von Eifersucht geschüttelten König Leontes (""Wintermärchen"") und als der durch Liebe aus der Bahn geschleuderte Verschwörer Jaffeir in Thomas Otways Barock-Drama »Das gerettete Venedig« London begeistert. Jetzt droht ihn seine unglückliche Veranlagung aus der Schauspielerlaufbahn *) Die anderen drei: Sir Laurence Olivier, Sir Ralph Richardson, Alec Guinness. zu schleudern, vielleicht für immer. Trotz aller Diskretion war Gielguds Veranlagung seit langem kein Geheimnis mehr. London hatte darum die Augenbrauen ein wenig hochgezogen, als Gielgud im Krönungssommer geadelt worden war. Sein Name stand auf der Liste, die Churchill der Königin vorgeschlagen hatte. Im grauen Zylinder, seine verhutzelte Mutter an der Seite, ließ sich Sir John vor dem Buckingham-Palace photographieren, nachdem ihm Königin Elizabeth den Ritterschlag erteilt hatte. Die Affäre Gielgud ist für den Buckingham-Palace um so peinlicher, als sich seit längerem ein Umschwung in der öffentlichen Meinung zu strengeren Maßstäben in Fragen der Moral andeutet. Der Mann, der sich gegen die laxen Sitten stellte, heißt Sir David Maxwell Fyfe. Der jetzige Innenminister, seines Zeichens Jurist und Großvater, ist ein jovialer Mann mit Familienbeziehungen zur Künstlerwelt - sein Schwager, Rex Harrison, gilt als einer der besten Filmschauspieler Englands. Amerikanische Zeitungen ließen sich neuerdings ausführlich aus London berichten, daß Innenminister Sir David Maxwell Fyfe wahrscheinlich eine Parlamentsdebatte anregen und eine Änderung der bestehenden Gesetze fordern werde, um der im Kriege eingerissenen Verwilderung der englischen Moral Einhalt zu gebieten. Sein Schweigen vor der Öffentlichkeit brechend, hat Maxwell Fyfe in Beantwortung einer Unterhausfrage jetzt bestätigt, daß er eine Änderung der Gesetze gegen Prostitution und Homosexualität in Betracht ziehe: »Ich bemühe mich um Informationen von verschiedenen Stellen, auch um Informationen über das Gesetz und die Praxis anderer Länder, die mir bei Überlegungen helfen könnten, ob irgendeine Änderung der Gesetze oder eine Änderung in den gegenwärtigen Methoden zur Anwendung der Gesetze helfen könnten, um mit dem Problem fertig zu werden.« Er warnte jedoch davor, sich ein »übertriebenes Bild« vom Ausmaß des Lasters in England zu machen. Die Homosexualität ist nachweisbar gestiegen. Schon früher galt im Ausland die Insel als Hort dieses Lasters, ein Ruf, der in England außerordentlich überraschte, da man dort Deutschland als sein klassisches Land zu betrachten pflegt.",0.6534591913223267,6,Der Text beschreibt die gesellschaftliche und rechtliche Reaktion auf Homosexualität im Kontext eines prominenten britischen Schauspielers. Er bietet Einblicke in die internationale Wahrnehmung und die moralischen Debatten der Zeit.,2,
chunk_16,CDU-Moral,10/11/1968,"Begründung: Der Text berührt die Thematik der Homosexualität im Kontext der Strafrechtsreform und der Haltung der CDU. Obwohl er nicht direkt auf Homosexualität fokussiert, zeigt er die politischen Sp...","Für Sodomie und Homosexualität hat die CDU Verständnis, nicht aber für das, was Hamburgs Sexualprofessor Hans Giese »für eine typische Erscheinung der Nachkriegszeit« hält: den Ehepartnertausch, der dem beteiligten Ehemann gemäß Paragraph 181 (schwere Kuppelei) eine Zuchthausstrafe bis zu fünf Jahren eintragen kann, während die Ehefrau straffrei ausgeht. Nachdem sich die Christdemokraten im Sonderausschuß für die Strafrechtsreform zur SPD-Einsicht durchgerungen hatten, daß Ehebruch, einfache Unzucht zwischen Männern, Unzucht mit Tieren und Erschleichung des außerehelichen Beischlafs straffrei sein sollen, verschoben sie nach Kiesingers bewährtem Ausklammerungs-Prinzip die Beratung über den Kuppelei-Paragraphen. Adolf Müller-Emmert (SPD), stellvertretender Vorsitzender des Sonderausschusses: »Da macht die CDU nicht mit. Ich habe durchaus menschliches Verständnis dafür, daß die CDU nicht bereit ist, den Partnertausch unter Ehegatten zu dekretieren.«",0.7520406246185303,6,"Der Text berührt die Thematik der Homosexualität im Kontext der Strafrechtsreform und der Haltung der CDU. Obwohl er nicht direkt auf Homosexualität fokussiert, zeigt er die politischen Spannungen und die moralischen Debatten, die die Reformen begleiteten. Dies bietet einen ergänzenden Einblick in die gesellschaftlichen und politischen Rahmenbedingungen der Zeit.",3,
chunk_13,Verschwörung des Schweigens,02/12/1958,Der Text ergänzt die Diskussion um den Wolfenden-Bericht und die gesellschaftliche Wahrnehmung von Homosexualität in England. Er bietet eine Perspektive auf die internationale Diskussion und die unter...,"Auch sei die These, daß die Homosexualität zur Dekadenz von Völkern und Kulturen führe, durch nichts zu belegen. Die Homosexualität schädige das Familienleben nicht mehr als etwa ein Ehebruch, und Straflosigkeit werde kaum zu einer Ausbreitung des Lasters führen, da die meisten Männer durch ihre normale Veranlagung davor bewahrt bleiben. Wolfenden läßt offen, ob die Homosexualität als Sünde aufzufassen sei; mit dieser Frage hatte er sich nicht zu befassen. Er kommt aber zu dem Schluß: »Wenn nicht von der Gesellschaft bewußt der Versuch unternommen wird, mit Hilfe der Justiz die Sphäre des Verbrechens mit der der Sünde gleichzusetzen, muß ein Bereich privater Moralität und Immoralität übrigbleiben der, grob gesagt, die Justiz nichts angeht.« Der Hauptvorschlag des Wolfenden-Berichts - Straffreiheit für Homosexualität - ist an sich nichts Revolutionäres. Holland, Belgien, Frankreich, Italien, Dänemark. Schweden und Spanien haben das Problem längst so geregelt. Dennoch löste der Bericht in der englischen Öffentlichkeit einen Sturm aus, der, wie sich die Pariser Zeitung »Le Monde« von der Themse berichten ließ, heftiger war als alle Diskussionen über Suez oder die H -Bombe. Den braven Engländern und Engländerinnen wollte vor allem die Unterscheidung zwischen Verbrechen und Sünde nicht einleuchten. »Man kann ja nicht wissen, wo das enden wird«, ängstigte sich die sozialistische Abgeordnete Jean Mann auf dem Fernsehschirm. »Vielleicht würden sogar Männer ihren Frauen abspenstig gemacht werden!« Die konservative Massenpresse brach in ähnliche Wehrufe aus. Jene Kräfte aber, die auf lange Sicht meinungsbildend wirken, stellten sich in ihrer großen Mehrheit hinter die Forderungen des Wolfenden-Berichts. Nicht nur die liberale Presse, für die Gewissensfreiheit Glaubenssatz ist, befürwortete die neuen Ideen. Ja, selbst die konservative 'Times' brachte einen Leitartikel zugunsten Wolfendens. Auch die anglikanische Kirche setzte sich für Wolfenden ein, nachdem ein Antrag, die Forderungen der Kommission zu billigen, vom Kirchenparlament mit 155 gegen 18 Stimmen angenommen worden war. Erklärte Dr. Geoffrey Fisher, Erzbischof von Canterbury und geistliches Oberhaupt aller Anglikaner: »Die Zeitungen regen sich auf, wenn das Problem der Homosexualität erörtert wird, aber sie nehmen an, daß niemand sich über den wachsenden Umfang von Ehebruch und Unzucht aufzuregen braucht. Ich betrachte das als eine Frage der Gerechtigkeit, und Gerechtigkeit muß es überall geben.« Der Sinneswandel gegenüber früheren Zeiten, der in diesen Worten des obersten anglikanischen Seelenhirten zum Ausdruck kam, läßt sich an Hand von Einzelschicksalen belegen. Der Dichter Oscar Wilde etwa, lange Zeit ein Abgott der englischen Gesellschaft, war 1895 wegen homosexueller Verfehlungen zu zwei Jahren Zuchthaus verurteilt worden und blieb, als er das Zuchthaus verließ, moralisch verfemt.",0.6852236986160278,5,"Der Text ist relevant, da er die Diskussion um den Wolfenden-Bericht in Großbritannien und die Reaktionen darauf beschreibt. Er bietet Einblicke in die gesellschaftlichen und medialen Reaktionen auf Vorschläge zur Entkriminalisierung von Homosexualität und zeigt die internationalen Debatten, die auch in Deutschland von Interesse waren. Der Text liefert unverzichtbaren Kontext für die historische Einordnung des Themas.",3,
chunk_21,"»Bekennt, daß ihr anders seid«",11/03/1973,Begründung: Der Text bietet eine detaillierte Diskussion über die rechtlichen und gesellschaftlichen Aspekte des Paragraphen 175 und die damit verbundenen Debatten. Die Erwähnung von Schutzaltersänder...,"Die Kommentatoren (und nicht nur sie) fragen sich, »warum die Homosexualität unter Jugendlichen zwischen 18 und 21 Jahren schlechthin unter Strafe stehen soll ..., da der über 18 Jahre alte Täter ja nach den ausgesprochenen Absichten des Gesetzgebers selbst zum geschützten Personenkreis gehört«. Schließlich: »Warum die Homosexualität zwischen Siebzehnjährigen straflos, zwischen Achtzehnjährigen für beide strafbar und zwischen Einundzwanzigjährigen wieder straflos sein soll, dürfte kriminalpolitisch kaum begründet werden können.« So ist es. Daß in der Bundesrepublik das Schutzalter von 21 Jahren auf 18 Jahre gesenkt wird, ist im Strafrechts-Sonderausschuß schon so gut wie sicher. Strittig zwischen Koalition und Opposition ist im wesentlichen nur noch die Frage, ob Strichjungen weiterhin bestraft werden sollen. Die Opposition ist -- noch -- dafür. Die SPD will »den Strichjungen gestrichen wissen« (Ausschuß-Mitglied Hans de With) -- mithin seiner Kollegin, der Prostituierten, gleichstellen. Ausschuß-Vorsitzender Adolf Müller-Emmert (SPD) hofft gleichwohl, daß der neue Paragraph 175 noch vor der Osterpause vom Bundestag verabschiedet wird. Demgegenüber meint der Frankfurter Rechts-Professor Friedrich Geerds, daß man »im Grunde den ganzen Paragraphen 175 abschaffen könnte«. Denn qualifizierte Tatbestände dieses Paragraphen, wie Verführung Minderjähriger, Mißbrauch des Abhängigkeitsverhältnisses und gewerbsmäßige Unzucht ließen sich auch mit anderen Paragraphen erfassen. Empfindlicher als jedes Strafgesetz trifft die Homosexuellen das ungeschriebene Gesetz der Gesellschaft, das sich nicht mit einem Federstrich beseitigen läßt. Geerds: »Auch bei Straflosigkeit bleibt der Homosexuelle ein Gegenstand unverhohlener Verachtung und gesellschaftlicher Ächtung. Er hat daher weiter viel, sehr viel Anlaß, seine andersartige Veranlagung nicht zur Schau zu stellen, sondern sie im Gegenteil so sehr wie irgend möglich zu verbergen.« Wachgehalten und verstärkt werden die Antipathien auch von Kathedern und Kanzeln aus. Denn noch immer zählt die Homosexualität für viele Frommen zu den »schweren und himmelschreienden Sünden« (katholisches »Lexikon für Theologie und Kirche«). Doch Vorurteile gegen und falsche Vorstellungen über Homosexualität befinden sich keineswegs im Alleinbesitz der nicht-homosexuellen Allgemeinheit. Auch die Betroffenen sehen sich vielfach selber falsch, nämlich so, wie die Gesellschaft sie sieht, der sie sich anpassen möchten. Und auch darüber, »wovon es abhängt, ob ein Mensch homosexuell wird oder nicht«, waren sich die von Dannecker und Reiche befragten Homosexuellen so wenig wie die Wissenschaft einig. Zwei Drittel neigen zur »Angeboren«-These, der Rest zur »Erworben«-Theorie.",0.7313606142997742,9,Der Text bietet eine detaillierte Diskussion über die rechtlichen und gesellschaftlichen Aspekte des Paragraphen 175 und die damit verbundenen Debatten. Die Erwähnung von Schutzaltersänderungen und die gesellschaftliche Ächtung von Homosexuellen liefern wichtige Informationen über die rechtlichen und sozialen Veränderungen in der Wahrnehmung von Homosexualität. Die Zitate von Politikern und Wissenschaftlern bieten wertvolle Perspektiven auf die gesellschaftlichen Wandlungsprozesse.,3,
chunk_22,Briefe,08/01/1952,Begründung: Die Leserbriefe bieten Einblicke in die öffentliche Meinung und die Kontroversen um den § 175. Sie zeigen sowohl Unterstützung für die Abschaffung des Paragraphen als auch vehemente Ablehn...,"(Nr. 52/51, Deutschland) Zu Ihrem Artikel § 175 »Gebot des Gesetzes« kann ich nur sagen, alle Hochachtung vor Herrn Landgerichtsrat Wartemann, endlich mal eine vernünftige Beurteilung eines Falles § 175. Aber trotzdem bleibt es allerhöchste Zeit, daß der § 175 endlich vom Bundesjustizministerium aufgehoben wird. Napoleon I. hat dieses ja schon bei der Herausgabe des Code Napoleon vor 150 Jahren getan, und der ehemalige Justizminister Koch (Weser) hat ihn ja auch bei der Beratung des damaligen neuen Strafgesetzbuches fallen lassen. Der Paragraph ist und bleibt eine unverschämte Einmischung in die persönliche Freiheit und Selbstentscheidung eines sogenannten freien Staatsbürgers. Hamburg 20 Johannes P. H. Meyer Es wird wirklich höchste Zeit, daß dieser Paragraph in die Gerümpelkammer abgeschoben wird. Die Herren Richter sollten sich einmal überlegen, daß sie von jenen bedauernswerten Menschen eine Willensstärke verlangen, die diese - und wohl kaum ein anderer Mensch - nicht haben können. Man denkt doch auch nicht daran, den Menschen das Essen zu verbieten. Frankfurt Kurt Demmler Homosexualität ist Unzucht, und sollte, wie bisher, mit der vollen Schärfe des Gesetzes bestraft werden. Kassel Hermann Schramm",0.7480544447898865,7,"Die Leserbriefe bieten Einblicke in die öffentliche Meinung und die Kontroversen um den § 175. Sie zeigen sowohl Unterstützung für die Abschaffung des Paragraphen als auch vehemente Ablehnung. Diese Vielfalt an Meinungen ist wertvoll, um die gesellschaftlichen Debatten und die Spannungen um das Thema Homosexualität in den frühen 1950er Jahren zu verstehen.",3,
chunk_12,Späte Milde,11/05/1969,Begründung: Der Text bietet eine umfassende Analyse der gesellschaftlichen Wahrnehmung von Homosexualität und diskutiert wissenschaftliche Erkenntnisse sowie die Lebensrealität homosexueller Menschen....,"Im Preußischen Landrecht aber blieb seit 1794 die Drohung erhalten, daß »widernatürliche Unzucht zwischen Personen männlichen Geschlechts« mit Gefängnis zu bestrafen sei, und sie ging 1871 -- seither formuliert im Paragraphen 175 -- in das Strafgesetzbuch des Reiches ein. »Widernatürliche Unzucht ist todeswürdig« -- mit diesem Satz des SS-Unterführers und Professors für germanische Rechts- und Religionsgeschichte Karl August Eckhardt im »Schwarzen Korps« vom 22. Mai 1935 wurde dann neuerlich, diesmal von Staats wegen, der Pogrom gegen die Homosexuellen eröffnet. Das war 38 Jahre nachdem mehrere tausend hochangesehene deutsche Mediziner, Juristen, Wissenschaftler, Künstler und Politiker mit einer (von dem Berliner Sexualforscher Dr. Magnus Hirschfeld inspirierten) Unterschriftensammlung den Reichstag hatten bestimmen wollen, den leidigen Paragraphen 175 abzuschaffen. Die Reichstags-Petition hatte den Paragraphen 175 rundheraus »für unvereinbar mit der fortgeschrittenen Erkenntnis« erklärt und den gesicherten Wissensstand schon der damaligen Zeit getreulich referiert, so etwa »daß Niemandem eine sittliche Schuld an einer solchen (homosexuellen) Gefühlsanlage beizumessen ist«, »daß das bestehende Gesetz noch keinen Konträrsexuellen von seinem Triebe befreit, wohl aber sehr viel brave, nützliche Menschen ungerecht in Schande, Verzweiflung, ja Irrsinn und Tod gejagt« habe, »daß diese Bestimmungen einem ausgedehnten Erpressertum und einer höchst verwerflichen männlichen Prostitution größten Vorschub geleistet haben« -- und sie hatte, weit fortschrittlicher als nun der Entwurf von 1969, die Herabsetzung der Altersschutzgrenze auf 16 Jahre gefordert. Es war das erste und bisher letzte Mal, daß die Homosexuellen so etwas wie eine Lobby im deutschen Parlament hatten -- freilich ohne Erfolg. Und während in der Kampfzeit der Nationalsozialisten das Männerbündlerische offenkundig noch eine bedeutsame Rolle gespielt hatte, war dann, als es galt, die Spießgesellen von einst zu liquidieren, bald auch die neue Zielsetzung bei der Verfolgung Homosexueller klar. »Auch in der Beurteilung der Homosexualität«, schrieb SS-Professor Eckhardt, »müssen wir zurückkehren zu dem nordischen Leitgedanken der Ausmerzung der Entarteten.« Fast auf den Tag genau ein Jahr nach der Ermordung des homosexuellen Kampfgefährten Ernst Röhm, am 26. Juni 1935, wurde der verschärfte Paragraph 175 verkündet. Er sah unter anderem für gewerbsmäßige gleichgeschlechtliche Unzucht unter Männern Zuchthausstrafe bis zu zehn Jahren vor und richtete sich nun auch gegen homosexuelle Kontakte aller Art (nicht wie bis dahin nur gegen beischlafähnliche Handlungen). In dieser Fassung war der Paragraph bislang auch noch in der Bundesrepublik gültig. Sprunghaft nahmen nach der Verkündung des NS-Gesetzes Denunziation und gerichtliche Verfolgung der Homosexualität in Deutschland zu.",0.6503836512565613,8,"Der Text liefert eine historische Rückschau auf die Entwicklung des Paragraphen 175 und die gesellschaftlichen und politischen Kräfte, die seine Beibehaltung oder Abschaffung beeinflussten. Die Erwähnung von Magnus Hirschfeld und die Petition gegen den Paragraphen bieten wertvolle historische Kontexte, die die Kontinuität und den Wandel in der Wahrnehmung von Homosexualität verdeutlichen. Der Text ist eine Schlüsseldokumentation der rechtlichen und gesellschaftlichen Entwicklungen.",3,
